# core width data from Keski-Rahkonen and Krause (1974)
# Z  Symbol  Edge  Core Width(eV)
 52    Te    L1      3.7000
 52    Te    L2      3.2158
 52    Te    L3      2.6653
 52    Te    M1      9.6544
 52    Te    M2      4.8243
 52    Te    M3      4.8243
 52    Te    M4      0.6438
 52    Te    M5      0.6089
 52    Te    N1      3.9216
 52    Te    N2      5.5013
 52    Te    N3      5.5013
 52    Te    N4      0.1275
 52    Te    N5      0.1275
 52    Te    O1      0.1000
 52    Te    O2      0.1000
 52    Te    O3      0.1000
 53     I     K      12.9270
 53     I    L1      3.8262
 53     I    L2      3.3149
 53     I    L3      2.7576
 53     I    M1      10.0000
 53     I    M2      5.0794
 53     I    M3      5.0794
 53     I    M4      0.6928
 53     I    M5      0.6462
 53     I    N1      4.3413
 53     I    N2      3.8540
 53     I    N3      3.8540
 53     I    N4      0.1176
 53     I    N5      0.1176
 53     I    O1      0.1000
 53     I    O2      0.1000
 53     I    O3      0.1000
 54    Xe     K      13.8548
 54    Xe    L1      3.9566
 54    Xe    L2      3.4171
 54    Xe    L3      2.8532
 54    Xe    M1      10.2963
 54    Xe    M2      5.3479
 54    Xe    M3      5.3479
 54    Xe    M4      0.7456
 54    Xe    M5      0.6858
 54    Xe    N1      4.8059
 54    Xe    N2      2.7000
 54    Xe    N3      2.7000
 54    Xe    N4      0.1084
 54    Xe    N5      0.1084
 54    Xe    O1      0.1000
 54    Xe    O2      0.1000
 54    Xe    O3      0.1000
 55    Cs     K      14.8492
 55    Cs    L1      4.0915
 55    Cs    L2      3.5225
 55    Cs    L3      2.9520
 55    Cs    M1      10.6014
 55    Cs    M2      5.6306
 55    Cs    M3      5.6306
 55    Cs    M4      0.8024
 55    Cs    M5      0.7278
 55    Cs    N1      5.3202
 55    Cs    N2      2.9787
 55    Cs    N3      2.9787
 55    Cs    N4      0.1000
 55    Cs    N5      0.1000
 55    Cs    O1      0.1000
 55    Cs    O2      0.1000
 55    Cs    O3      0.1000
 56    Ba     K      15.9150
 56    Ba    L1      4.2310
 56    Ba    L2      3.6311
 56    Ba    L3      3.0543
 56    Ba    M1      10.9156
 56    Ba    M2      5.9283
 56    Ba    M3      5.9283
 56    Ba    M4      0.8635
 56    Ba    M5      0.7724
